 , nanopore.paf,nanopore.paf.gz,nanopore.paf.bz2,nanopore.paf.xz,nanopore.jpaf,nanopore.jpaf.gz,nanopore.jpaf.bz2,nanopore.jpaf.xz,nanopore.short.sam,nanopore.short.bam,nanopore.short.cram,nanopore.basic.sam,nanopore.basic.bam,nanopore.basic.cram
nanopore.paf,0.0,-5.8084865275078705,-5.432107035240291,-13.80491418601434,-1.8289228369981525,-17.98215362447298,-16.92589231121102,-23.06258944551925,0.9098633786449423,0.6145485939805613,0.5590870926988039,0.9131175216886468,0.6309891096494662,0.594455301608203
nanopore.paf.gz,0.8531244798737918,0.0,0.05528093369163889,-1.174479471494735,0.5845004869189877,-1.788013686710058,-1.6328747569355158,-2.534205340394049,0.9867611368560568,0.9433866242575166,0.9352406874097782,0.987239090808166,0.9458013335475302,0.9404354114892786
nanopore.paf.bz2,0.8445299503691107,-0.05851573834288959,0.0,-1.3017207432807059,0.5601872261299412,-1.9511563660979783,-1.7869393673019531,-2.74101197534259,0.9859864550043685,0.9400738507758618,0.9314512484189834,0.9864923767848792,0.9426298585628639,0.9369499456134833
nanopore.paf.xz,0.9324548600933693,0.5401198249470707,0.565542430410271,0.0,0.8089200111898972,-0.28215222229418413,-0.21080690411194358,-0.6253109706134128,0.9939117092998616,0.9739646308532095,0.9702184759897015,0.9941315108470249,0.9750751077842028,0.9726074266087338
nanopore.jpaf,0.646508562580262,-1.4067416892616778,-1.2736947615246996,-4.233410396490079,0.0,-5.710028770037242,-5.336649440121412,-7.505919331137616,0.968137476153042,0.8637462284307296,0.8441410626211845,0.9692877878551306,0.8695578099464525,0.8566434216275296
nanopore.jpaf.gz,0.9473189386313502,0.6413217034167322,0.6611497745467818,0.22006140720898393,0.8509693424169253,0.0,0.05564496706528399,-0.2676427512680257,0.9952515071188315,0.9796940108248576,0.9767722400722358,0.9954229388282192,0.9805601146397435,0.9786354748562911
nanopore.jpaf.bz2,0.9442147714245394,0.6201870228100288,0.6411834388172916,0.17410447809310947,0.8421878929157174,-0.05892377879573485,0.0,-0.3423370523357594,0.9949717079746884,0.978497505210473,0.9754035726843319,0.9951532410881987,0.9794146431349612,0.9773765963026474
nanopore.jpaf.xz,0.9584417129227041,0.7170509623279262,0.7326926493175892,0.3847331261028851,0.8824348126205124,0.21113421032881863,0.2550306212140008,0.0,0.996254076413549,0.9839812998142968,0.9816764148222917,0.9963893130243499,0.984664539484164,0.9831462570015583
nanopore.short.sam,-10.09426984245275,-74.53518675487642,-70.35953110449454,-163.2497129739998,-30.384833317134483,-209.59313450079574,-197.87468646732404,-265.9568604167461,0.0,-3.27630190953247,-3.891606770619826,0.03610234103279897,-3.093906392352565,-3.499222317134709
nanopore.short.bam,-1.5943607530895059,-16.663670234905076,-15.687206051898311,-37.40928831705367,-6.339246381826628,-48.246554372448415,-45.5062314763148,-61.427037675160925,0.7661530871403487,0.0,-0.14388714223281474,0.774595508137875,0.042652628611960175,-0.052129249131198874
nanopore.short.cram,-1.2680216057201532,-14.44179454664243,-13.58815772622958,-32.57786524471332,-5.416058115226961,-42.05193454340383,-39.656311063639365,-53.57447275201139,0.7955681953001124,0.12578788319270184,0.0,0.8029486620313383,0.16307532793895907,0.08021586196214148
nanopore.basic.sam,-10.509800588518974,-77.3643222412336,-73.03226933962573,-169.40161001116076,-31.5603377341561,-217.48080295831664,-205.3234458733043,-275.9556061613279,-0.03745453751955585,-3.4364688198480016,-4.07481963994092,0.0,-3.2472417629264836,-3.6677386082206542
nanopore.basic.bam,-1.7099471212084612,-17.450638465006545,-16.430669943454117,-39.12053457812787,-6.666231298244016,-50.44063256897731,-47.57822026385919,-64.208344996706,0.7557345224434041,-0.044552928108131606,-0.19485066384452954,0.7645530780166918,0.0,-0.09900468792820383
nanopore.basic.cram,-1.465819437328458,-15.788498418317847,-14.860414550472631,-35.50624516785399,-5.97561291817241,-45.80656336958031,-43.202013692440886,-58.33400076721598,0.7777393670475832,0.049546430891684534,-0.08721161699229008,0.7857634962165971,0.09008577398777351,0.0
