breakpoint_size,hsrelocations,hstranslocations,hsinversions,cerelocations,cetranslocations,ceinversions,dmrelocations,dmtranslocations,dminversions
1000,1741,0,4,1131,200,65,780,1341,5
2000,640,0,6,695,178,82,575,1277,10
3000,332,0,6,455,164,97,501,1250,10
4000,239,0,7,337,189,107,457,1244,10
5000,192,0,7,272,163,116,410,1236,10
6000,168,0,7,242,161,119,388,1232,11
7000,154,0,7,227,159,121,362,1224,12
8000,148,0,7,115,159,121,347,1224,12
9000,145,0,7,92,159,123,326,1222,12
10000,142,0,7,89,159,123,316,1222,12
20000,133,0,7,73,157,129,212,1199,15
30000,135,0,8,67,157,133,178,1175,16
40000,131,0,9,66,157,133,148,1173,16
50000,126,0,10,66,157,133,141,1171,18
